"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1619","9. Set Local Storage to bypass UI","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","224","2. Error: Invalid Email Format","webkit","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","0","get started link","chromium","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","80","1. Successful Submission","chromium","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","3833","2. Form Based Auth - Success","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","12246","test4","firefox","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1899","6. Drag and Drop","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","337","Soft Assertions","webkit","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1108","test3","chromium","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1920","3. Handle JS Prompt - Input Text","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","2016","Polling Assertions","firefox","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1694","1. Login and save state","firefox","2026-03-20","passed","2026-03-20","Authentication Management","auth.spec.js","",""
"","1883","6. Handle File Download","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","743","test2","chromium","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1185","6. Drag and Drop","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1749","2. Verify secure area without logging in again","webkit","2026-03-20","passed","2026-03-20","Authentication Management > Tests that require login","auth.spec.js","",""
"","1377","test2","webkit","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","720","Test 1 running in parallel","webkit","2026-03-20","passed","2026-03-20","Parallel Execution and Fixtures","paralell-fixture.spec.js","",""
"","286","Soft Assertions","firefox","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1558","8. Handle Checkboxes","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1530","1. Handle JS Alert - Accept","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","2385","10. File Upload","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1596","8. Evaluate JS in Browser Context","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","285","Soft Assertions","chromium","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","2022","test3","firefox","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","0","contact page title","firefox","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1699","2. Form Based Auth - Success","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1016","Search test for Python","webkit","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1961","1. Basic Authentication via URL","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","893","1. Successful Submission","firefox","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","1988","localhost 5500 contact test for aaryan2@gamil.com","firefox","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","1264","10. Take Element Screenshot","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","30017","test","chromium","2026-03-20","broken","2026-03-20","","amazon.spec.js","",""
"","950","8. Evaluate JS in Browser Context","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1232","test","firefox","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1269","9. Dynamic Loading - Wait for element","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1121","3. Handle JS Prompt - Input Text","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","2560","test","webkit","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1684","test","webkit","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1776","1. Basic Authentication via URL","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1301","test3","firefox","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","500","Test 2 running in parallel","firefox","2026-03-20","passed","2026-03-20","Parallel Execution and Fixtures","paralell-fixture.spec.js","",""
"","1760","test5","webkit","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1988","5. Hover over elements","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","11496","test4","chromium","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","592","Test 2 running in parallel","webkit","2026-03-20","passed","2026-03-20","Parallel Execution and Fixtures","paralell-fixture.spec.js","",""
"","629","Search test for Java","chromium","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1483","test2","firefox","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","560","Search test for Python","chromium","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1159","Search test for Java","firefox","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","13058","test4","webkit","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","250","contact page submit","webkit","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","30036","4. Interact with IFrame","chromium","2026-03-20","broken","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","30082","5. Wait for specific API response","chromium","2026-03-20","broken","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","242","localhost 5500 contact test for raghu1@gmail.com","webkit","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","2318","3. Form Based Auth - Failure","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1826","10. File Upload","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1183","9. Set Local Storage to bypass UI","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","2030","Polling Assertions","webkit","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","326","should be ok","webkit","2026-03-20","failed","2026-03-20","test the backend endpoints","api.spec.js","",""
"","1119","1. Handle JS Alert - Accept","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1949","2. Handle JS Confirm - Dismiss","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1442","Search test for JavaScript","chromium","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1906","8. Handle Checkboxes","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","773","test","chromium","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1275","test2","webkit","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","882","2. Error: Invalid Email Format","firefox","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","81","3. Error: Message Too Short","chromium","2026-03-20","failed","2026-03-20","Pet Shop Contact Form Tests","contacts.spec.js","",""
"","30263","4. Intercept & Mock Network Request","firefox","2026-03-20","broken","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1101","test2","firefox","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","825","Search test for JavaScript","firefox","2026-03-20","passed","2026-03-20","Parameterization and Advanced Assertions","param-assertion.spec.js","",""
"","1123","7. Select from Dropdown","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","0","contact page title","chromium","2026-03-20","skipped","2026-03-20","","example.spec.js","",""
"","1282","2. Verify secure area without logging in again","firefox","2026-03-20","passed","2026-03-20","Authentication Management > Tests that require login","auth.spec.js","",""
"","227","should not have any automatically detectable accessibility issues","webkit","2026-03-20","failed","2026-03-20","homepage","acess.spec.js","",""
"","2213","test1","webkit","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","1525","test","firefox","2026-03-20","passed","2026-03-20","","Automation.spec.js","",""
"","1094","localhost 5500 contact test for aaryan2@gamil.com","chromium","2026-03-20","failed","2026-03-20","","example.spec.js","",""
"","1137","2. Handle JS Confirm - Dismiss","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","30074","4. Intercept & Mock Network Request","chromium","2026-03-20","broken","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1922","10. Take Element Screenshot","webkit","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1865","7. Select from Dropdown","webkit","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1204","8. Evaluate JS in Browser Context","firefox","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1813","9. Dynamic Loading - Wait for element","firefox","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
"","1072","7. Multiple Windows/Tabs","chromium","2026-03-20","passed","2026-03-20","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","1997","test1","firefox","2026-03-20","passed","2026-03-20","","testautomation.spec.js","",""
"","475","Test 1 running in parallel","chromium","2026-03-20","passed","2026-03-20","Parallel Execution and Fixtures","paralell-fixture.spec.js","",""
"","1155","8. Handle Checkboxes","chromium","2026-03-20","passed","2026-03-20","Intermediate UI Components & Alerts","ui-interaction.spec.js","",""
